ORIGIN_SZ_C,DEST_SZ_C,O_TOTAL_POP,D_TOTAL_POP,O_MONTHLY_INCOME,D_MONTHLY_INCOME,TRIPS,FlowNoIntra,offset,dist
AMSZ03,HGSZ03,23360,20870,101.2,120.8,281,281,1,4830.180993363818
AMSZ03,HGSZ04,23360,40510,101.2,120.8,8997,8997,1,3517.25439976873
AMSZ03,HGSZ05,23360,42440,101.2,120.8,827,827,1,3415.473011254702
AMSZ03,HGSZ06,23360,21180,101.2,120.8,747,747,1,2789.1841055346954
AMSZ03,HGSZ07,23360,28450,101.2,120.8,11307,11307,1,3541.513515156083
AMSZ03,HGSZ08,23360,11870,101.2,120.8,9426,9426,1,4217.905124155687
AMSZ03,KLSZ01,23360,31940,101.2,55.4,415,415,1,4702.017459152577
AMSZ03,KLSZ02,23360,9870,101.2,55.4,4628,4628,1,4985.432683877721
AMSZ03,KLSZ03,23360,10140,101.2,55.4,1711,1711,1,5766.024934670043
AMSZ03,KLSZ04,23360,790,101.2,55.4,80,80,1,6419.689402379234
AMSZ03,KLSZ06,23360,8420,101.2,55.4,366,366,1,5922.249187103599
AMSZ03,KLSZ09,23360,7530,101.2,55.4,130,130,1,7080.605118895027
AMSZ03,MPSZ02,23360,7770,101.2,21.5,412,412,1,8167.948068116698
AMSZ03,MPSZ03,23360,22370,101.2,21.5,1346,1346,1,8919.588393524098
AMSZ03,MUSZ01,23360,220,101.2,21.5,784,784,1,7326.53216381543
AMSZ03,NTSZ02,23360,890,101.2,21.5,127,127,1,6086.880744879589
AMSZ03,NTSZ03,23360,180,101.2,21.5,155,155,1,6126.576239627035
AMSZ03,NVSZ01,23360,27810,101.2,23.8,4364,4364,1,4315.198438577599
AMSZ03,NVSZ02,23360,7120,101.2,23.8,195,195,1,5349.218459512407
AMSZ03,NVSZ03,23360,2210,101.2,23.8,1112,1112,1,5150.188934890624
AMSZ03,NVSZ04,23360,3160,101.2,23.8,2355,2355,1,5779.855607958373
AMSZ03,NVSZ05,23360,610,101.2,23.8,537,537,1,4489.382756856671
AMSZ03,ORSZ02,23360,190,101.2,21.5,1580,1580,1,7000.256595740809
AMSZ03,PGSZ03,23360,39010,101.2,60.4,79,79,1,6265.58672527771
AMSZ03,PGSZ04,23360,38980,101.2,60.4,202,202,1,7045.582347053956
AMSZ03,PRSZ02,23360,30470,101.2,78,687,687,1,9512.083753068815
AMSZ03,PRSZ03,23360,27050,101.2,78,366,366,1,10306.564539459687
AMSZ03,PRSZ05,23360,46910,101.2,78,699,699,1,11558.170216812292
AMSZ03,PRSZ08,23360,12790,101.2,78,13,13,1,12328.42911967489
AMSZ03,QTSZ02,23360,11170,101.2,49.2,206,206,1,9172.386020529342
AMSZ03,QTSZ08,23360,600,101.2,49.2,101,101,1,10245.672197090693
AMSZ03,QTSZ10,23360,9260,101.2,49.2,726,726,1,10786.216909973287
AMSZ03,RCSZ05,23360,50,101.2,21.5,33,33,1,6870.563152387285
AMSZ03,RVSZ01,23360,1650,101.2,21.5,445,445,1,7607.136996781335
AMSZ03,SESZ02,23360,49890,101.2,124.3,299,299,1,6068.682456398592
AMSZ03,SESZ03,23360,50520,101.2,124.3,746,746,1,5569.549763262951
AMSZ03,SESZ04,23360,38880,101.2,124.3,899,899,1,5006.647847132513
AMSZ03,SESZ05,23360,16050,101.2,124.3,69,69,1,4448.678675598048
AMSZ03,SGSZ03,23360,13700,101.2,68.2,18640,18640,1,2268.3151123555485
AMSZ03,SGSZ04,23360,31420,101.2,68.2,24724,24724,1,1236.8798887542014
AMSZ03,SGSZ05,23360,7230,101.2,68.2,3680,3680,1,1938.856967166033
AMSZ03,SGSZ06,23360,21840,101.2,68.2,94693,94693,1,2136.598970238561
AMSZ03,SGSZ07,23360,15240,101.2,68.2,8565,8565,1,3082.0041361564536
AMSZ03,TMSZ02,23360,111460,101.2,152.8,985,985,1,10692.391878897823
AMSZ03,TMSZ03,23360,68390,101.2,152.8,816,816,1,9103.931248710387
AMSZ03,TMSZ04,23360,33490,101.2,152.8,696,696,1,11252.015884664637
AMSZ03,TMSZ05,23360,1510,101.2,152.8,6,6,1,13205.42062984655
AMSZ03,TNSZ01,23360,7360,101.2,9,616,616,1,6572.138104506693
AMSZ03,TNSZ02,23360,5610,101.2,9,449,449,1,8255.039591407516
AMSZ03,TNSZ04,23360,3110,101.2,9,914,914,1,7263.902560260538
AMSZ03,TPSZ01,23360,12450,101.2,68.9,5269,5269,1,3102.209011236983
AMSZ03,TPSZ02,23360,23640,101.2,68.9,9724,9724,1,3658.5328908920287
AMSZ03,TPSZ04,23360,13070,101.2,68.9,8809,8809,1,3219.5488867664326
AMSZ03,TPSZ05,23360,6300,101.2,68.9,8489,8489,1,2590.908224758487
AMSZ03,TPSZ11,23360,8570,101.2,68.9,3616,3616,1,3969.4534958341997
AMSZ03,TPSZ12,23360,7000,101.2,68.9,4580,4580,1,4262.797434684852
